Helichrysum stoechas,Piptatherum miliaceum,Hyparrhenia sinaica,Lygeum spartum,Linum strictum,Plantago crassifolia,Fagonia cretica,Leontodon longirostris,Reichardia tingitana,Dittrichia viscosa,Phagnalon saxatile,Sonchus tenerrimus,Paronychia suffruticosa,Limonium carthaginense,Atriplex halimus,Pinus halepensis
False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True
False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True
False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True
True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True
True,True,False,False,False,False,False,False,False,True,True,False,False,True,False,True
True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True
False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True
False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
True,True,False,False,False,False,False,False,False,True,False,True,False,False,True,True
False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True
True,True,False,False,False,False,False,False,False,True,True,True,False,False,False,True
True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False
False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False
False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False
False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True
True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
